Season,Episode,Title,Scene,Person,Said
1,5,Feat of Clay Part II,ROOFTOP FIGHT,Clayface,"Relax, Germs. You won't have to hang around here too long."
1,5,Feat of Clay Part II,ROOFTOP FIGHT,Clayface,Back off!
1,5,Feat of Clay Part II,PLAN OF ACTION,Clayface,"Not even the Batman can stop me, Teddy! And that means Daggett won't have a prayer!"
1,5,Feat of Clay Part II,PLAN OF ACTION,Clayface,DON'T YOU DARE PATRONIZE ME!!! I told you I don't need rest! I don't need food! AND I DON'T NEED YOU!
1,5,Feat of Clay Part II,FINAL CONFRONTATION,Clayface,You again!
1,5,Feat of Clay Part II,FINAL CONFRONTATION,Clayface,"There is no Hagen, it's only me now"
1,5,Feat of Clay Part II,FINAL CONFRONTATION,Clayface,"No, no. Turn them off."
1,5,Feat of Clay Part II,FINAL CONFRONTATION,Clayface,No! Hagen's gone! Make him stop haunting me! Stop it. Stop it! Turn them off! I can't control it! I can't be all! Not all at once! STOP!
1,5,Feat of Clay Part II,FINAL CONFRONTATION,Clayface,You know what I'd have given for a death scene like this? (Transforms to his disfigured face) Too bad I won't get to... read the notices.
1,5,Feat of Clay Part II,GOTHAM INSIDER,Clayface,I'd like to ask Mr. Daggett about the rumors I've heard. I hear he's selling Renuyu through direct marketing because stores won't carry it due to it's harmful side effects.
1,5,Feat of Clay Part II,GOTHAM INSIDER,Clayface,"What about the addictive properties of Renuyu, Mr. Daggett? How once you're hooked on it, you can't stop using it without horrible pain."
1,5,Feat of Clay Part II,GOTHAM INSIDER,Clayface,"Why don't you show them what an overdose can do, Daggett? (In his normal voice) Why don't you tell them about me?!"
1,33,Beware the Gray Ghost,THE SEARCH,Clerk,What can I do for ya?
1,33,Beware the Gray Ghost,THE SEARCH,Clerk,"Well, you've come to the right place, pal. I've got every TV show ever made here! I collect 'em. It's my life. I got it all. Anything you want. Name it!"
1,33,Beware the Gray Ghost,THE SEARCH,Clerk,"Uh, name something else."
1,33,Beware the Gray Ghost,THE SEARCH,Clerk,"Except The Gray Ghost. Nobody has it. The studio that made that show, Spectrum, it burned to the ground twenty years ago. The negatives went up like ..... Ah, real shame."
1,33,Beware the Gray Ghost,THE SEARCH,Clerk,"Not anymore. Sorry, pal."
1,26,The Clock King (episode),THE CLOCK KING,Clock King,"Well, well. The Batman. It's about time you showed up! I suppose you want to know why I've brought Downtown Gotham to a standstill, Batman. Hm? Well, let's just say it's because I'm a civic minded citizen with a lot of time on his hands."
1,26,The Clock King (episode),THE CLOCK KING,Clock King,"A pity, I don't know what to tell you, Batman, except perhaps that the 9"
1,26,The Clock King (episode),TIME INVESTIGATION,Clock King,"(on tape) Sorry I couldn't be with you in person, Batman, but I've got a train to catch. This box contains a high-speed vacuum pump. I know you've got all kind of gas masks, so I'm putting you out of my misery by simply removing all the oxygen from the room. (Batman takes a gadget from his belt and points it at the door) The process will take fifteen minutes, which is exactly seventeen minutes less than the time it would take you to burn through the door with that oxyacetylene torch of yours. (Batman puts the gadget away and approaches the pump box) Oh, and I don't recommend trying to open the pump's housing. It's rigged with a vibration-sensitive explosive. Of course, if you want to get blown to bits, that's fine with me. Either way, it's time to say ""adieu,"" Batman."
1,26,The Clock King (episode),SABOTAGED CEREMONY,Clock King,"(from a speaker) So, is this what you want? A mayor who can't even get a single subway train to arrive on time? (two trains come on the same rail and are bound to crash) Clear the platforms please. Here comes some more of our mayor's incompetence."
1,26,The Clock King (episode),KILLING TIME,Clock King,"Comfortable, Hill? Well you won't be for long! At 3"
1,26,The Clock King (episode),KILLING TIME,Clock King,You told me to take my coffee break at 3
1,26,The Clock King (episode),KILLING TIME,Clock King,You don't remember?! My court date!!
1,26,The Clock King (episode),KILLING TIME,Clock King,"Don't hand me that! You did it on purpose! The plaintiffs were represented by your law firm, Mr. Mayor!"
1,26,The Clock King (episode),KILLING TIME,Clock King,"Liar! Not that it matters anymore. Now that you have an appointment to keep, at 3"
1,26,The Clock King (episode),KILLING TIME,Clock King,"Don't count on it, Batman. When it comes to clocks, I am king. En garde!"
1,26,The Clock King (episode),KILLING TIME,Clock King,"Au contraire, Batman. You of all people should know there's always a way out!"
1,6,It's Never Too Late,EVERY ACTION COUNTS,Connie Stromwell,I didn't know until today. I'd never have known if it weren't for Batman. (Joey moans and Stromwell tries to approach) Don't get any closer! The nurse said not to disturb him!
1,6,It's Never Too Late,EVERY ACTION COUNTS,Connie Stromwell,Just look in the mirror. It were your drugs and your people who sell them. I left you to get away from what you're doing. Our son wasn't so lucky.
1,6,It's Never Too Late,EVERY ACTION COUNTS,Connie Stromwell,"Yes, and he's lucky. He'll pull through."
1,6,It's Never Too Late,THE GANG WAR,Constance,"According to police commissioner Gordon, mob violence is intensifying."
1,6,It's Never Too Late,THE GANG WAR,Constance,"But the struggle may now be taking a tragic twist with the reported disappearance of Arnold Stromwell's only son, Joseph."
1,6,It's Never Too Late,THE GANG WAR,Constance Blaine,The mob war in Gotham continues tonight. Rival crime families led by Rupert Thorne and Arnold Stromwell continue to battle for control of the city's underworld.
1,21,Vendetta,THE CROCODILE'S LAIR,Conway,Batman!
1,19,Fear of Victory,THE ASYLUM,Cook,This is for Jonathan Crane.
1,38,Terror in the Sky,Eat & Run,Co-Pilot,Cabin pressure dropping.
1,38,Terror in the Sky,Eat & Run,Co-Pilot,Hancock One-Four-Four to GCA control
1,38,Terror in the Sky,A Dream... or Is It?,Co-Pilot,Cabin pressure dropping.
1,38,Terror in the Sky,A Dream... or Is It?,Co-Pilot,Hancock One-Four-Four to GCA control
1,38,Terror in the Sky,J'Accuse,Co-Pilot,Cabin pressure dropping.
1,38,Terror in the Sky,J'Accuse,Co-Pilot,Hancock One-Four-Four to GCA control
1,38,Terror in the Sky,Batman VS She-Bat,Co-Pilot,Cabin pressure dropping.
1,38,Terror in the Sky,Batman VS She-Bat,Co-Pilot,Hancock One-Four-Four to GCA control
1,38,Terror in the Sky,Discovery,Co-Pilot,Cabin pressure dropping.
1,38,Terror in the Sky,Discovery,Co-Pilot,Hancock One-Four-Four to GCA control
1,38,Terror in the Sky,Terror In The Sky,Co-Pilot,Cabin pressure dropping.
1,38,Terror in the Sky,Terror In The Sky,Co-Pilot,Hancock One-Four-Four to GCA control
1,44,Off Balance,VERTIGO,Count Vertigo,"The first thing I want is for you to stop asking stupid questions. The second, it a powerful weapon, and I think your drill will do nicely."
1,19,Fear of Victory,GAME NIGHT,Courier,"Telegram for Mitch Nole. (Batman seizes his arm) What?! What's wrong? All I did was double-park! I'll move it, I swear! (Batman groans and lets him go)"
1,10,Nothing to Fear,BATMAN DISCOVERS CRANE AND THE FINAL CONFRONTATION,Crane,Uh...uh...Batman! No! No! No! Stay Away! (Sees Batman as a giant demon) S-Stay away! NO! NO!
1,36,Almost Got 'Im,THE MEETING,Croc,"Well, you know what I think?"
1,36,Almost Got 'Im,THE MEETING,Croc,"Well, he could be."
1,36,Almost Got 'Im,THE MEETING,Croc,"Scram, lady! This is a private- uugghh! - Why you little... ugh!"
1,36,Almost Got 'Im,THE MEETING,Croc,Same here. You think one of us would've got 'im by now!
1,36,Almost Got 'Im,GIANT PENNY,Croc,So what happened next?
1,36,Almost Got 'Im,GIANT PENNY,Croc,"ME! There I was, hold up in this quarry, when Batman came nosing around. He was gettin' closer, closer..."
1,36,Almost Got 'Im,GIANT PENNY,Croc,I threw a rock at him!
1,36,Almost Got 'Im,GIANT PENNY,Croc,It was a big rock...
1,36,Almost Got 'Im,AVIARY OF DOOM,Croc,Uhhh...
1,36,Almost Got 'Im,LAUGH AND DIE,Croc,........
1,36,Almost Got 'Im,LAUGH AND DIE,Croc,"Hey, I don't get it. You just knocked out Catwoman and left her?"
1,36,Almost Got 'Im,LAUGH AND DIE,Croc,(in Batman's voice) I don't think so.
1,36,Almost Got 'Im,THE MEETING,Croc,Hun?
1,21,Vendetta,THE CROCODILE'S LAIR,Croc,Terrific. Just what I need now. The freak job in the cape.
1,21,Vendetta,THE CROCODILE'S LAIR,Croc,"What can I tell ya? Bein' a reptile man ain't pretty. But it's got its upsides. Like having the strength of a crocodile, for instance. But I guess you've learned that by now, huh? The hard way. - You know, they used to call Killer Croc, the meanest dude in the wrestling federation. Now, they'll call him the guy who iced the Batman."
1,21,Vendetta,SEWER SHOWDOWN,Croc,Drive!
1,21,Vendetta,SEWER SHOWDOWN,Croc,Escape? Simple. The guards don't think about the sewers. No one does except me.
1,21,Vendetta,SEWER SHOWDOWN,Croc,"You got it. I wanted you to sweat it out in a cell for a while like I did. To know what it feels like, the way I do. Huh? You?!"
1,21,Vendetta,SEWER SHOWDOWN,Croc,"Yeah, and it would have gone down smooth if you hadn't butted in, but hey, I'm adaptable. When you grow up looking like I do, you gotta learn to go with the flow. I'll just take care of you first, then Bullock. - See, this ain't no Batcave. You're on my turf now."
1,12,Appointment in Crime Alley,LESLIE THOMPKINS,Crocker,"Urban redevelopment, lady. That's what this is all about. Uh- tell me if the rope's too tight."
1,12,Appointment in Crime Alley,LESLIE THOMPKINS,Crocker,Boom! Instant slump clearance! Next stop
1,12,Appointment in Crime Alley,LESLIE THOMPKINS,Crocker,"Hey, we told them to leave. They stand in the way of redevelopment, they get bulldozed. Nothing personal, just business."
1,12,Appointment in Crime Alley,DAGGET'S FAILURE,Crocker,Batman? Wh-what are you doing here?
1,12,Appointment in Crime Alley,DAGGET'S FAILURE,Crocker,No-none of your business.
1,12,Appointment in Crime Alley,DAGGET'S FAILURE,Crocker,"N-no-- No, of course n-not."
1,12,Appointment in Crime Alley,DAGGET'S FAILURE,Crocker,But... Mr. Daggett! You told us to--
1,9,Pretty Poison,HARVEY'S FALL,Customer,"Well, y'know, I've been talking to my broker and his recommendation was that--uuhh...(gets distracted by Pamela on her way out)"
1,18,Two-Face Part II,GRACE IS TRICKED,D. Leopold,"I'm Detective Leopold. It's about your fiancé. -- So, unless we can get to Harvey before Thorne does, he won't stand much of a chance."
1,18,Two-Face Part II,GRACE IS TRICKED,D. Leopold,"It is possible that Harvey might try to see you. If he does, you activate this beeper and we'll be able to trace the signal to wherever you are. It's all in your hands."
1,4,Feat of Clay Part I,ROLAND DAGGETT,Daggett,Now then...
1,4,Feat of Clay Part I,ROLAND DAGGETT,Daggett,"Thank heaven for small favors. But Hagen has disappointed me once too often lately. He botched his assignment completely! To wit, once Fox is able to talk, he might very well incriminate us, if the police can't figure out what we're up to from those papers Hagen was supposed to retrieve. Frankly, I think our Mr. Hagen has outlived his usefulness. I want him dealt with!"
1,4,Feat of Clay Part I,ROLAND DAGGETT,Daggett,"You needn't bother searching for him. This is the only place in the world where he can get what he needs! And when his supply runs out, he'll come to us."
1,5,Feat of Clay Part II,CLAYFACE,Daggett,I want everything wrapped up by the time I take that show tonight. We're going to settle the Fox matter once and for all.
1,5,Feat of Clay Part II,GOTHAM INSIDER,Daggett,"If you watch the monitors you'll see that with Renuyu, you can smooth away wrinkles, reshape imperfections, literally remake your face however you choose."
1,5,Feat of Clay Part II,GOTHAM INSIDER,Daggett,"Well, that's, uh, absolutely untrue."
1,5,Feat of Clay Part II,GOTHAM INSIDER,Daggett,No! I mean... That's just not so!
1,12,Appointment in Crime Alley,DAGGET'S PLAN,Daggett,"Ah, I see Crocker explained the terms of your employment Mr. Nitro."
1,12,Appointment in Crime Alley,DAGGET'S PLAN,Daggett,"It's to be done while I give my speech to the Gotham Better Business Council. Nine o'clock, exactly."
1,12,Appointment in Crime Alley,BATMAN'S APPOINTMENT,Daggett,"It's tragic. Park Row may be an historical landmark, but it's also a breeding ground for crime. Of course, as much as we disagree with the Zoning Board's decision, our hands are tied."
1,12,Appointment in Crime Alley,DAGGET'S FAILURE,Daggett,"Gentlemen, Gotham City is at a crossroads. As businessmen, the choices we face is clear. It's time we decide where we stand. Are we for progress or against it? For the future or for the past. For the weak or for the strong? - In short, we cannot allow the underclass to hinder us from building a better tomorrow."
1,12,Appointment in Crime Alley,DAGGET'S FAILURE,Daggett,"It's a sad fact, but you have to expect violence in crime alley. These people don't value human life like we do."
1,12,Appointment in Crime Alley,DAGGET'S FAILURE,Daggett,I'm shocked! Shocked! To learn that arson was the cause of this tragedy! Thank heaven the criminals responsible were caught.
1,12,Appointment in Crime Alley,DAGGET'S FAILURE,Daggett,Officers! I believe your duty is clear! - Excuse me.
1,34,Cat Scratch Fever,BIO-WARFARE,Daggett,"What's the delay, Milo? You should've had these animals on the street by now!"
1,34,Cat Scratch Fever,BIO-WARFARE,Daggett,"Days, actually. You know how many strays there are in Gotham, Batman? Three hundred thousand! Imagine if even a tenth of them carried the virus. Not only will this little bottle make me a hero, it'll make me a fortune as well. Take care of him! - Get 'im!"
1,34,Cat Scratch Fever,BIO-WARFARE,Daggett,"You'd better make sure of that, my friend, because if he does get away, I suggest you keep on driving, as far away from Gotham as this truck can take you."
1,25,The Cape and Cowl Conspiracy,FIRST CONTACT,Damsel in Distress,Help! Please! Help!
1,23,The Forgotten,THE SLAVERY CAMPMENT,Dan,Don't mind him. Every chain gang has a comedian. I'm Dan Riley and he's Salvo Smith.
1,23,The Forgotten,ALFRED INVESTIGATES AND BRUCE'S NIGHTMARE,Dan,How are you holding up?
1,23,The Forgotten,ALFRED INVESTIGATES AND BRUCE'S NIGHTMARE,Dan,Remember anything yet?
1,23,The Forgotten,ALFRED INVESTIGATES AND BRUCE'S NIGHTMARE,Dan,"Hey, you can't give up hope! Down here, it's all we've got to hang on to."
1,23,The Forgotten,ALFRED INVESTIGATES AND BRUCE'S NIGHTMARE,Dan,I was a steam fitter at the Gotham Navy Yard. Two nights a week I did volunteer work at the Dock Street Rescue Mission. One night I was getting into my car and three guys jumped me! I wound up here. My family must be going out of their minds!
1,23,The Forgotten,ALFRED INVESTIGATES AND BRUCE'S NIGHTMARE,Dan,Where's Salvo?
1,23,The Forgotten,ALFRED INVESTIGATES AND BRUCE'S NIGHTMARE,Dan,"Hang on, man. We'll get you out."
1,23,The Forgotten,BRUCE REMEMBERS AND ALFRED COMES TO THE RESCUE,Dan,You can't! It'll kill him!
1,23,The Forgotten,BRUCE REMEMBERS AND ALFRED COMES TO THE RESCUE,Dan,"Hey, you really cleaned their clocks!"
1,23,The Forgotten,BRUCE REMEMBERS AND ALFRED COMES TO THE RESCUE,Dan,Maybe you used to be some kind of fighter!
1,23,The Forgotten,BRUCE REMEMBERS AND ALFRED COMES TO THE RESCUE,Dan,"My son; he's gonna be 6 on April 7th. Or is it 7 on April 6th? Oh, what's it matter... I'll never see him again..."
1,23,The Forgotten,BRUCE REMEMBERS AND ALFRED COMES TO THE RESCUE,Dan,I can't take it anymore! I lost my family! My family! (Dan's words resonate on Bruce's mind
1,23,The Forgotten,BRUCE REMEMBERS AND ALFRED COMES TO THE RESCUE,Dan,"Hahaha. Yeah, right! You're the one who's losing it!"
1,23,The Forgotten,BATMAN CAPTURES THE BAD GUYS AND AFTERMATH,Dan,"It's no palace, but you're welcome to stay at our place till you get back on your feet."
1,23,The Forgotten,BATMAN CAPTURES THE BAD GUYS AND AFTERMATH,Dan,"Y'know pal, it'll be tight, but you're welcome too."
1,23,The Forgotten,BATMAN CAPTURES THE BAD GUYS AND AFTERMATH,Dan,Hit you? Why?
1,23,The Forgotten,THE SLAVERY CAMPMENT,Dan,You okay?
1,41,"If You're So Smart, Why Aren't You Rich?",EDWARD NYGMA,Daniel Mockridge,Miss Welbach
1,18,Two-Face Part II,GRACE IS TRICKED,Detective Leopold,Grace Lamont?
1,3,Christmas with the Joker,BACK IN WAYNE MANOR,Dick,"Now just relax, Bruce. You're gonna love 'It's A Wonderful Life'; it's a great movie."
1,3,Christmas with the Joker,BACK IN WAYNE MANOR,Dick,"No, it's about how much of a difference one man can make to a city. Sound familiar?"
1,3,Christmas with the Joker,BACK IN WAYNE MANOR,Dick,Aahh...wrong channel...some kind of Christmas Special...(keeps changing channels)
1,3,Christmas with the Joker,BACK TO NORMALITY,Dick,And it is a wonderful life.
1,19,Fear of Victory,FEARFUL TELEGRAM,Dick,"Oh, no sweat. You'll dazzle them!"
1,19,Fear of Victory,FEARFUL TELEGRAM,Dick,(Tuns TV Off) I'll say...
1,19,Fear of Victory,FEARFUL TELEGRAM,Dick,"Let me see! - ""Dear Brian. Best of luck against Tech. And remember that, only a fool knows no fear. I'm betting on it. A fan"" --"
1,19,Fear of Victory,FEAR STRIKES,Dick,"Come on, Brian! Get it together!"
1,19,Fear of Victory,GAME NIGHT,Dick,Yeah. I can't wait to congratulate him.
1,29,Night of the Ninja,ATTACKS,Dick,That's the sixth one in less than two weeks!
1,29,Night of the Ninja,PAST,Dick,"Hey, Bruce! Wait up! Listen, it'll only take a minute to get into my costume!"
1,29,Night of the Ninja,PAST,Dick,What's with him? Bat got his tongue?
1,29,Night of the Ninja,PAST,Dick,"Isn't that the truth!?! Something's eating him, Alfred. I don't know what, yet."
1,29,Night of the Ninja,SUMMER,Dick,"Alfred, do you know anything about Bruce's training in Japan?"
1,29,Night of the Ninja,SUMMER,Dick,Do you ever hear of somebody called Kyodai Ken?
1,29,Night of the Ninja,SUMMER,Dick,"I think Bruce is worried he can't take this ninja. He won't admit it, of course."
1,29,Night of the Ninja,SUMMER,Dick,(as Bruce leaves) Do you think he heard us?
1,29,Night of the Ninja,PAYBACK,Dick,So what did you tell Summer?
1,29,Night of the Ninja,PAYBACK,Dick,The police couldn't find any trace of Kyodai Ken. You think he escaped?
1,29,Night of the Ninja,PAYBACK,Dick,"He had you worried for a while, didn't he?"
1,30,The Strange Secret of Bruce Wayne,SECRET KEEPER,Dick,"Not bad, huh? Maybe I'll shuck this crime-fighting gig and try Hollywood. (removes disguise) I wish you weren't so tall, though. Walking in these leg extension braces is a pain!"
1,35,I Am the Night,TRIBULATION,Dick,You can't be everywhere!
1,35,I Am the Night,TRIBULATION,Dick,You're being to hard on yourself.
1,35,I Am the Night,TRIBULATION,Dick,You're only human! You do all one man can do. More than any man's expected to do.
1,35,I Am the Night,TRIBULATION,Dick,"Jim Gordon's a cop, Bruce. He knows the risks."
1,35,I Am the Night,TRIBULATION,Dick,This city would fall apart without you.
1,35,I Am the Night,DENIAL,Dick,"I know how you feel, more that you might think, but your place is here. There's only one person who can find the Jazzman now!"
1,35,I Am the Night,DENIAL,Dick,"I hope so. (And later in Wayne Manor) You've gotta pull yourself out of this, Bruce! The Jazzman broke out of Stonegate! He's gonna ground somewhere in Gotham. You know he'll find a way to get to Gordon! Okay, then I'm going after him! You taught me everything I know about crime fighting, Bruce, but the most important lesson was to never give up!"
1,41,"If You're So Smart, Why Aren't You Rich?",BATCAVE PLAYZONE,Dick,"Oh, that! That's the hand of fate. When you make a mistake it picks you up and takes you to another part of the maze."
1,41,"If You're So Smart, Why Aren't You Rich?",BATCAVE PLAYZONE,Dick,The Wasteland! Uughhh!
1,41,"If You're So Smart, Why Aren't You Rich?",BATCAVE PLAYZONE,Dick,"I mean in the game! It's a dead end, see?"
1,41,"If You're So Smart, Why Aren't You Rich?",AFTERMATH,Dick,I guess the Mayor's happy about this.
1,41,"If You're So Smart, Why Aren't You Rich?",AFTERMATH,Dick,"But that creep, Mockridge got to pocket a cool ten mill from the buyout. What a burn."
1,50,Robin's Reckoning Part I,THE FLYING GRAYSONS,Dick,"Hey! (Sitka, the elephant takes Dick's towel) Okay Zitka, give it back! Come on!"
1,50,Robin's Reckoning Part I,THE FLYING GRAYSONS,Dick,"Hey, that's the guy that--"
1,50,Robin's Reckoning Part I,THE FLYING GRAYSONS,Dick,"Dad! (after the tragedy) It- it had to be that guy. He- he threatened Mr. Haley. I saw him come out of the tent! I tried to tell my folks, but... but--"
1,50,Robin's Reckoning Part I,THE FLYING GRAYSONS,Dick,"Thanks Mr. Haley! - I know Zica, I'm gonna miss you too."
1,50,Robin's Reckoning Part I,THE FLYING GRAYSONS,Dick,Thanks Mr. Wayne.
1,50,Robin's Reckoning Part I,THE FLYING GRAYSONS,Dick,Bruce!
1,50,Robin's Reckoning Part I,THE SEARCH,Dick,Isn't Bruce coming down to eat?
1,50,Robin's Reckoning Part I,THE SEARCH,Dick,He has a meeting every night. Who does he see?
1,50,Robin's Reckoning Part I,THE SEARCH,Dick,Dick.
1,50,Robin's Reckoning Part I,THE SEARCH,Dick,That's ok.
1,50,Robin's Reckoning Part I,THE SEARCH,Dick,Great!
1,50,Robin's Reckoning Part I,THE SEARCH,Dick,If only I could have stopped him. I saw him coming out of the tent; I knew he didn't belong there!
1,50,Robin's Reckoning Part I,THE SEARCH,Dick,Your mom and dad? Does the hurt ever go away?
1,52,Robin's Reckoning Part II,FLASHBACK,Dick,(fencing with Bruce) En guarde!
1,52,Robin's Reckoning Part II,FLASHBACK,Dick,Oh yeah?
1,52,Robin's Reckoning Part II,FLASHBACK,Dick,"Finesse, huh?"
1,52,Robin's Reckoning Part II,FLASHBACK,Dick,Um... yeah. Sure.
1,52,Robin's Reckoning Part II,FLASHBACK,Dick,"Yeah. Hey, ever pick up this guy?"
1,52,Robin's Reckoning Part II,FLASHBACK,Dick,"Yeah, something."
1,52,Robin's Reckoning Part II,FLASHBACK,Dick,No one!
1,52,Robin's Reckoning Part II,FLASHBACK,Dick,Leave her alone!
1,52,Robin's Reckoning Part II,FLASHBACK,Dick,I said leave her alone!
1,52,Robin's Reckoning Part II,FLASHBACK,Dick,"Sorry, but I'm kinda in a rush."
1,52,Robin's Reckoning Part II,FLASHBACK,Dick,You do?
1,52,Robin's Reckoning Part II,"FLASHBACK, PART II",Dick,Leggo o' me!
1,52,Robin's Reckoning Part II,"FLASHBACK, PART II",Dick,Hey!
1,52,Robin's Reckoning Part II,"FLASHBACK, PART II",Dick,You creep! I hate you! I hate you!
1,52,Robin's Reckoning Part II,"FLASHBACK, PART II",Dick,(as the river takes him) HELP!
1,52,Robin's Reckoning Part II,"FLASHBACK, PART II",Dick,Help... help....
1,52,Robin's Reckoning Part II,"FLASHBACK, PART II",Dick,He's gone. He got away. No! You had him! You let him go! You let him! Why! Why did you do it? Why? -(The Batwing Arrives) Where we goin'?
1,52,Robin's Reckoning Part II,"FLASHBACK, PART II",Dick,"Man, oh man! Is this where you live?"
1,52,Robin's Reckoning Part II,"FLASHBACK, PART II",Dick,Why'd you bring me here?
1,52,Robin's Reckoning Part II,"FLASHBACK, PART II",Dick,What do you mean? Who are you?
1,57,The Demon's Quest Part II,ORPHEUS,Dick,Coincidence?
1,57,The Demon's Quest Part II,ORPHEUS,Dick,What's it orbiting over?
1,59,Shadow of the Bat Part I,TRAITOR,Dick,"If I find out who she is, I'll... hey-- look at that!"
1,59,Shadow of the Bat Part I,TRAITOR,Dick,Almost as though he expected it.
1,60,Shadow of the Bat Part II,FINALE,Dick,How do you think Batman will feel about that?
1,19,Fear of Victory,FEARFUL TELEGRAM,Dick,Weird!
1,19,Fear of Victory,FEARFUL TELEGRAM,Dick,"(Mutes TV) Sounds like it's off to the pros for you, roommate!"
1,29,Night of the Ninja,ATTACKS,Dick,Sorry. Some of us aren't perfect.
1,35,I Am the Night,TRIBULATION,Dick,Bruce? Bruce! Stay down here much longer and you'll be growing mushrooms in your armpits!
1,41,"If You're So Smart, Why Aren't You Rich?",BATCAVE PLAYZONE,Dick,"Not ""a game"", Alfred. THE game. Riddle of the Minotaur! It's really cool, look. Not only you have to avoid all these traps, but you gotta solve all these riddles! ""What is the shortest distance between a point in Nome, Alaska and a point in Miami, Florida?"" A straight line, what else!"
1,50,Robin's Reckoning Part I,THE FLYING GRAYSONS,Dick,Ready dad!
1,9,Pretty Poison,THE SEARCH,Dishwasher,"Hey, I just clean the dishes, okay?"
1,17,Two-Face Part I,"FRACTURED FACE, FRACTURED MIND",Doctor,He'll pull through. He's lucky Batman got him here so quickly.
1,17,Two-Face Part I,"FRACTURED FACE, FRACTURED MIND",Doctor,That's a different matter. A good plastic surgeon should be able to repair most of the physical scars.
1,17,Two-Face Part I,"FRACTURED FACE, FRACTURED MIND",Doctor,"Now you understand, there's going to be some scarring, but I've already scheduled a surgery."
1,17,Two-Face Part I,"FRACTURED FACE, FRACTURED MIND",Doctor,"Harvey, maybe you should wait until--"
1,19,Fear of Victory,FEAR STRIKES,Doctor,"It's gonna be alright, son. I gotta take you to the infirmary for observation."
1,9,Pretty Poison,THE POISONING,Doctor 1,He's not breathing...
1,9,Pretty Poison,THE POISONING,Doctor 1,Get to .... and move him into ......unit number 3 stat.
1,9,Pretty Poison,THE POISONING,Doctor 1,Get to .... and move him into ......unit number 3 stat.
1,9,Pretty Poison,THE POISONING,Doctor 1,"No, commissioner. Mr. Dent has been poisoned."
1,9,Pretty Poison,THE POISONING,Doctor 1,I doubt it. This is the most virulent strain of poison I've ever come across. We're doing everything we can Mr. Wayne.
1,9,Pretty Poison,THE POISONING,Doctor 1,"The poison is racing through his system. If he's going to make it, we need to find the antidote and fast."
1,9,Pretty Poison,THE POISONING,Doctor 2,What's the blood pressure?
1,50,Robin's Reckoning Part I,THE DYNAMIC DUO,Dolan,Wait! Wait! You gotta help me! I mean-- The cops wouldn't leave me!
1,50,Robin's Reckoning Part I,THE DYNAMIC DUO,Dolan,I can't ! I can't say nothing! He'll tear me apart!
1,50,Robin's Reckoning Part I,THE DYNAMIC DUO,Dolan,Whoa! Hey! C'mon! For pity's sake! Ahh! Ahhhit's Marin! Billy Marin!
1,50,Robin's Reckoning Part I,THE DYNAMIC DUO,Dolan,"I-I-I-I-I-I-I- I don't- Look, I can't...!"
1,3,Christmas with the Joker,FINAL SHOWDOWN,Donner,Where'd he go?
1,3,Christmas with the Joker,LAFFY AND THE BLOWED UP BRIDGE,Donner,Sure boss. (start singing Joker's version of Jingle Bells)
1,3,Christmas with the Joker,FINAL SHOWDOWN,Donner,"Uh...UH??...whoaa, lookout!"
1,18,Two-Face Part II,HARVEY CONTACTS GRACE,Doobie,"Hey there. You OK, Batman? Looks like you took a nasty fall there, fellow."
1,18,Two-Face Part II,HARVEY CONTACTS GRACE,Doobie,"Ain't nobody here but us, son. You alright?"
1,1,The Cat and the Claw Part I,THE DATE...,Doorman,A Mister Bruce Wayne is on his way up.
1,31,"Tyger, Tyger",EMILE DORIAN,Dorian,"My name is Emile Dorian. But that doesn't begin to tell you who I am. Tygrus is my creation, Miss Kyle. You've already met my first attempt of altering human genetic structure. Garth, the ape-man. A simple ........... ....... ....... But Tygrus; ah, he is the pinnacle of my art. I designed him from scratch, so to speak. I gave him the strength and speed of a cat and more. I love cats. Their independence, their power and beauty. That is why I've chosen you for my next experiment, Selina Kyle. Or perhaps I should say, Catwoman."
1,31,"Tyger, Tyger",EMILE DORIAN,Dorian,"Sticks and stones, Miss Kyle, sticks and stones. You've already been inoculated with the initial dosage. This shot will further the treatment."
1,31,"Tyger, Tyger",MAD SCIENCE,Dorian,"Garth! Bring him downstairs! -- That's one way to do it. That will be all, Garth."
1,31,"Tyger, Tyger",MAD SCIENCE,Dorian,"Yes, yes. Leave us! Now! - Servants nowadays."
1,31,"Tyger, Tyger",MAD SCIENCE,Dorian,"Temper, temper, Batman. You shall see your Cat-Woman as you've never seen her before."
1,31,"Tyger, Tyger",MAD SCIENCE,Dorian,I've made her what she always wanted to be. I've given her power and grace beyond her wildest dreams.
1,31,"Tyger, Tyger",MAD SCIENCE,Dorian,"I believe she would disagree. And how even begin to imagine how it is for her? A whole new state of being, hypened senses, increased speed. Agility, strength."
1,31,"Tyger, Tyger",MAD SCIENCE,Dorian,"You'll only confuse her, Batman. She's no longer the woman you knew. No longer even human. In fact she needs only one more injection to complete-"
1,31,"Tyger, Tyger",MAD SCIENCE,Dorian,"Good lad, Tygrus."
1,31,"Tyger, Tyger",MAD SCIENCE,Dorian,"Don't be so crude, Batman. Tygrus is the ultimate life form, superior to any human. - Doesn't he remind you of Blake's poem? ""Tiger, tiger, burning bright in the forests of the night...""?"
